证券代码,证券简称,年份,企业所有制性质（1-国企，3-民营，5-外企）,企业地理位置（1-沿海，3-内陆）,企业所在地市场开放指数（正向指标）,企业规模（1-大型，3-中型，5-小型，7-微型）,企业上市年限（1-持续发展期\衰败期，2-成熟期，5-成长期，7-创业期）,技术人员数量占比(%)
503,国新健康,2021,1,1,5.94,5,1,62.24
606,顺利办,2021,2,3,4.75,7,1,3.01
638,万方发展,2021,2,3,7.48,7,1,42.39
676,智度股份,2021,2,1,11.34,3,1,27.11
839,中信国安,2021,1,3,9.51,1,1,1.02
889,中嘉博创,2021,3,1,8.49,3,1,12.67
917,电广传媒,2021,1,3,8.75,1,1,2.98
971,*ST 高升,2021,2,3,9.44,5,1,29.94
2065,东华软件,2021,2,3,9.51,1,3,53.86
2072,ST 凯瑞,2021,2,3,9.44,7,3,4.00 
2095,生意宝,2021,2,1,10.83,5,3,23.25
2113,*ST 天润,2021,2,3,8.75,7,3,24.12
2131,利欧股份,2021,2,1,10.83,1,3,12.33
2153,石基信息,2021,2,3,9.51,1,3,41.2
2168,惠程科技,2021,2,1,11.34,5,3,42.67
2174,游族网络,2021,2,1,10.15,3,3,70.01
2195,二三四五,2021,2,1,11.1,7,3,56.84
2197,证通电子,2021,2,1,11.34,5,3,25.96
2212,天融信,2021,2,1,11.34,1,3,62.68
2235,安妮股份,2021,2,1,10.15,7,3,8.69
2261,拓维信息,2021,2,3,8.75,1,3,24.33
2298,中电兴发,2021,1,3,9.19,1,3,13.31
2316,亚联发展,2021,2,1,11.34,3,3,27.38
2380,科远智慧,2021,2,1,11.49,5,5,19.02
2405,四维图新,2021,2,3,9.51,1,5,54.08
2425,凯撒文化,2021,3,1,11.34,5,5,69.28
2439,启明星辰,2021,2,3,9.51,1,5,42.77
2447,*ST 晨鑫,2021,2,1,9.25,7,5,47.99
2464,众应互联,2021,2,3,5.45,7,5,5.22
2474,榕基软件,2021,2,1,10.15,5,5,43.51
2517,恺英网络,2021,2,1,10.15,3,5,58.98
2530,金财互联,2021,2,1,11.49,3,5,25.74
2544,杰赛科技,2021,1,1,11.34,1,5,25.12
2558,巨人网络,2021,2,3,9.16,3,5,76.98
2602,世纪华通,2021,3,1,10.83,1,5,56.12
2605,姚记科技,2021,3,1,11.1,3,5,42.99
2771,真视通,2021,2,3,9.51,7,5,25.81
300002,神州泰岳,2021,2,3,9.51,1,3,41.53
300010,豆神教育,2021,2,3,9.51,5,3,18.67
300025,华星创业,2021,2,1,10.83,5,3,21.47
300038,数知科技,2021,2,3,9.51,3,5,40.85
300043,星辉娱乐,2021,3,1,11.34,3,5,23.99
300044,赛为智能,2021,2,1,11.34,5,5,45.67
300050,世纪鼎利,2021,2,1,11.34,5,5,29.01
300052,中青宝,2021,2,1,11.34,7,5,29.02
300074,华平股份,2021,2,1,11.1,5,5,24.99
300085,银之杰,2021,2,1,11.34,5,5,63.87
300096,易联众,2021,2,1,10.15,3,5,53.96
300113,顺网科技,2021,2,1,10.83,5,5,47.28
300167,迪威迅,2021,3,1,11.34,5,5,68.21
300168,万达信息,2021,1,1,11.1,1,5,56.41
300231,银信科技,2021,2,3,9.51,3,5,16.42
300242,佳云科技,2021,3,1,11.34,3,5,11.23
300277,海联讯,2021,1,1,11.34,7,5,49.11
300297,蓝盾股份,2021,2,1,11.34,7,5,50.22
300300,海峡创新,2021,1,1,10.83,7,5,23.64
300302,同有科技,2021,3,3,9.51,7,5,38.67
300311,任子行,2021,2,1,11.34,5,5,67.25
300315,掌趣科技,2021,2,3,9.51,5,5,79.88
300339,润和软件,2021,2,1,11.49,1,5,10.22
300350,华鹏飞,2021,2,1,11.34,5,5,19.23
300352,北信源,2021,2,3,9.51,5,5,43.33
300380,安硕信息,2021,2,1,11.1,3,5,22.65
300386,飞天诚信,2021,2,3,9.51,5,5,25.87
300392,腾信股份,2021,2,3,9.51,7,5,48.99
300418,昆仑万维,2021,2,3,9.51,3,5,61.22
300419,浩丰科技,2021,2,1,9.51,7,5,28.14
300469,信息发展,2021,2,1,11.1,5,5,47.25
300508,维宏股份,2021,2,1,11.1,5,7,51.54
300513,恒实科技,2021,2,3,9.51,3,7,25.74
300518,盛讯达,2021,2,1,11.34,7,7,29.87
300520,科大国创,2021,2,3,9.19,3,7,37.26
300541,先进数通,2021,3,3,9.51,1,7,7.36
300550,和仁科技,2021,2,1,10.83,5,7,40.87
300560,中富通,2021,2,1,10.15,5,7,14.99
300578,会畅通讯,2021,2,1,11.1,5,7,16.55
300588,熙菱信息,2021,2,3,5.45,7,7,39.89
300605,恒锋信息,2021,2,1,10.15,5,7,39.98
300663,科蓝软件,2021,2,3,9.51,3,7,12.54
300687,赛意信息,2021,3,1,11.34,3,7,36.22
