code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.000503,2017-04-29,2017-03-31,3.860993,23.310066,199.898461,0.450229,0.036626,0.026815
sz.000503,2017-08-26,2017-06-30,6.931478,25.968488,415.208115,0.433518,0.079365,0.056994
sz.000503,2017-10-28,2017-09-30,14.840318,18.193681,626.141754,0.431212,0.105889,0.076874
sz.000503,2018-04-21,2018-03-31,3.352180,26.848202,287.595372,0.312940,0.013367,0.008654
sz.000503,2018-08-25,2018-06-30,5.683758,31.669185,611.017896,0.294590,0.024874,0.016008
sz.000503,2018-10-31,2018-09-30,13.087331,20.630639,861.248034,0.313499,0.052350,0.033612
sz.000503,2019-04-27,2019-03-31,1.945948,46.249947,656.285351,0.137135,0.022260,0.013634
sz.000503,2019-08-24,2019-06-30,3.040610,59.198647,1126.639101,0.159767,0.043620,0.025991
sz.000503,2019-10-30,2019-09-30,4.442929,60.770715,2012.314279,0.134174,0.075653,0.044896
sz.000503,2020-04-25,2020-03-31,1.565159,57.502148,1059.713946,0.084929,0.019606,0.013519
sz.000503,2020-08-28,2020-06-30,2.110471,85.289001,2312.163302,0.077849,0.038879,0.028126
sz.000503,2020-10-30,2020-09-30,3.858477,69.975788,4147.116919,0.065105,0.067264,0.048709
sz.000606,2017-04-22,2017-03-31,1.338013,67.263933,0.550677,163.435302,0.065567,0.026647
sz.000606,2017-08-16,2017-06-30,3.339084,53.906998,1.443435,124.702524,0.183284,0.070181
sz.000606,2017-10-28,2017-09-30,4.818737,56.031279,2.225126,121.341442,0.328289,0.100766
sz.000606,2018-04-28,2018-03-31,3.848422,23.386206,99.990964,0.900081,0.150756,0.040080
sz.000606,2018-08-31,2018-06-30,5.388941,33.401736,230.376096,0.781331,0.361904,0.088658
sz.000606,2018-10-31,2018-09-30,5.152248,52.404305,308.245185,0.875926,0.544857,0.112939
sz.000606,2019-04-30,2019-03-31,2.910519,30.922318,2692.641725,0.033424,0.516550,0.089483
sz.000606,2019-08-31,2019-06-30,5.993271,30.033682,9968.074416,0.018058,1.104767,0.181806
sz.000606,2019-10-31,2019-09-30,10.722986,25.179554,17157.524026,0.015737,1.762597,0.292999
sz.000606,2020-04-30,2020-03-31,8.613631,10.448555,235790.081345,0.000382,1.415359,0.384748
sz.000606,2020-08-31,2020-06-30,19.961413,9.017397,517032.000701,0.000348,3.218179,0.852881
sz.000606,2020-10-31,2020-09-30,35.267941,7.655678,875744.308438,0.000308,5.336316,1.424799
sz.000638,2017-04-29,2017-03-31,8.671888,10.378363,0.019612,4588.983302,0.020221,0.017488
sz.000638,2017-08-31,2017-06-30,27.121009,6.636921,0.046870,3840.410103,0.065271,0.054053
sz.000638,2017-10-31,2017-09-30,5.147282,52.454871,0.082964,3254.441676,0.102397,0.081322
sz.000638,2018-04-28,2018-03-31,0.390420,230.521240,0.061226,1469.959578,0.039048,0.023522
sz.000638,2018-08-30,2018-06-30,0.852185,211.221782,0.126238,1425.876862,0.086712,0.051880
sz.000638,2018-10-31,2018-09-30,1.259779,214.323361,0.159018,1697.924919,0.124666,0.074515
sz.000638,2019-04-30,2019-03-31,0.202851,443.675455,0.041234,2182.666092,0.029051,0.020645
sz.000638,2019-08-30,2019-06-30,0.515115,349.436655,0.104406,1724.031021,0.079550,0.056214
sz.000638,2019-10-31,2019-09-30,1.176612,229.472353,0.296513,910.584113,0.177758,0.125804
sz.000638,2020-04-30,2020-03-31,0.269758,333.632704,0.161858,556.043374,0.072970,0.043346
sz.000638,2020-08-31,2020-06-30,0.470164,382.844836,0.215611,834.835351,0.137366,0.081705
sz.000638,2020-10-31,2020-09-30,0.800684,337.211603,0.340823,792.199614,0.231496,0.138120
sz.000676,2017-04-27,2017-03-31,1.394075,64.558931,,,0.346407,0.178380
sz.000676,2017-08-30,2017-06-30,2.931378,61.404573,,,0.722096,0.379358
sz.000676,2017-10-31,2017-09-30,4.766364,56.646952,,,1.153648,0.637221
sz.000676,2018-04-27,2018-03-31,1.372672,65.565549,,,0.506323,0.294151
sz.000676,2018-08-15,2018-06-30,2.657550,67.731565,,,0.934356,0.531565
sz.000676,2018-10-20,2018-09-30,3.495590,77.240187,,,1.309676,0.762514
sz.000676,2019-04-26,2019-03-31,1.238536,72.666445,6650.257692,0.013533,0.549960,0.321558
sz.000676,2019-08-24,2019-06-30,2.304752,78.099505,12589.139081,0.014298,1.053635,0.601186
sz.000676,2019-10-22,2019-09-30,3.471339,77.779785,20705.236596,0.013040,1.644951,0.954961
sz.000676,2020-04-28,2020-03-31,2.210452,40.715645,7330.218720,0.012278,0.665971,0.372759
sz.000676,2020-08-28,2020-06-30,3.854210,46.702183,11154.427311,0.016137,1.170663,0.637858
sz.000676,2020-10-29,2020-09-30,6.056396,44.580971,19478.277259,0.013862,1.765961,0.959779
sz.000839,2017-04-28,2017-03-31,1.163378,77.360911,0.673211,133.687635,0.244999,0.075010
sz.000839,2017-08-29,2017-06-30,2.537022,70.949316,1.314724,136.910863,0.435562,0.147172
sz.000839,2017-10-31,2017-09-30,3.446755,78.334539,1.769039,152.625223,0.643049,0.205404
sz.000839,2018-04-27,2018-03-31,1.007856,89.298443,0.504092,178.538733,0.196825,0.059525
sz.000839,2018-08-31,2018-06-30,2.088698,86.178103,0.896317,200.821784,0.396394,0.112316
sz.000839,2018-10-31,2018-09-30,3.068005,88.005071,1.192902,226.338787,0.587990,0.168537
sz.000839,2019-04-29,2019-03-31,1.310491,68.676535,0.399641,225.202064,0.244551,0.049561
sz.000839,2019-08-31,2019-06-30,2.368329,76.002961,0.705004,255.317573,0.446697,0.092176
sz.000839,2019-10-31,2019-09-30,3.477483,77.642370,1.051093,256.875396,0.676801,0.140372
sz.000839,2020-04-30,2020-03-31,0.862227,104.380862,0.286035,314.647279,0.167606,0.040004
sz.000839,2020-08-29,2020-06-30,1.796567,100.191100,0.579717,310.496392,0.377483,0.087166
sz.000839,2020-10-31,2020-09-30,2.270066,118.939281,0.721347,374.299575,0.446385,0.115582
sz.000889,2017-04-29,2017-03-31,0.744642,120.863505,88.942374,1.011891,0.357419,0.132642
sz.000889,2017-08-29,2017-06-30,1.544417,116.548803,205.286848,0.876822,0.767180,0.289116
sz.000889,2017-10-28,2017-09-30,2.337700,115.498160,399.182394,0.676383,1.213051,0.463644
sz.000889,2018-04-28,2018-03-31,0.771782,116.613199,55.244264,1.629128,0.429756,0.182367
sz.000889,2018-08-28,2018-06-30,1.436470,125.307146,114.857782,1.567155,0.903693,0.368304
sz.000889,2018-10-30,2018-09-30,2.221257,121.552809,80.916077,3.336791,1.413668,0.536517
sz.000889,2019-04-30,2019-03-31,0.714806,125.908371,13.302320,6.765737,0.397869,0.156043
sz.000889,2019-08-27,2019-06-30,1.419790,126.779273,22.249012,8.090247,0.770775,0.304744
sz.000889,2019-10-29,2019-09-30,2.117892,127.485254,30.105803,8.968371,1.126404,0.440882
sz.000889,2020-04-28,2020-03-31,0.520927,172.768957,11.649833,7.725432,0.247515,0.124463
sz.000889,2020-08-18,2020-06-30,1.203037,149.621379,24.410992,7.373727,0.577402,0.286982
sz.000889,2020-10-27,2020-09-30,1.923536,140.366461,40.258402,6.706675,0.945002,0.466657
sz.000917,2017-04-29,2017-03-31,2.591192,34.733056,0.431964,208.350906,0.229332,0.077475
sz.000917,2017-08-12,2017-06-30,4.966931,36.239680,0.942145,191.053340,0.492987,0.165185
sz.000917,2017-10-28,2017-09-30,7.877557,34.274586,1.466044,184.169119,0.758744,0.256817
sz.000917,2018-04-28,2018-03-31,2.075757,43.357668,0.625584,143.865599,0.262321,0.098418
sz.000917,2018-08-31,2018-06-30,4.038071,44.575737,1.258341,143.045429,0.521784,0.195804
sz.000917,2018-10-31,2018-09-30,5.856928,46.099255,1.957321,137.943613,0.800327,0.307275
sz.000917,2019-04-27,2019-03-31,1.418686,63.438997,0.378040,238.069997,0.158968,0.061425
sz.000917,2019-08-31,2019-06-30,2.748648,65.486740,0.781064,230.455001,0.337291,0.127822
sz.000917,2019-10-31,2019-09-30,4.361340,61.907581,1.440571,187.425654,0.578558,0.211492
sz.000917,2020-04-29,2020-03-31,1.083537,83.061287,0.507806,177.233202,0.148155,0.054263
sz.000917,2020-08-31,2020-06-30,2.413781,74.571810,1.089666,165.188267,0.298005,0.110274
sz.000917,2020-10-31,2020-09-30,3.687859,73.213219,2.053118,131.507302,0.482628,0.174452
sz.000971,2017-04-29,2017-03-31,0.880401,102.226093,,,0.204122,0.056230
sz.000971,2017-08-26,2017-06-30,1.753044,102.678568,,,0.419650,0.109546
sz.000971,2017-10-28,2017-09-30,2.536705,106.437299,,,0.624547,0.165243
sz.000971,2018-04-14,2018-03-31,0.767864,117.208303,,,0.235070,0.056664
sz.000971,2018-08-31,2018-06-30,1.530216,117.630423,,,0.451302,0.107539
sz.000971,2018-10-31,2018-09-30,2.282520,118.290321,,,0.679497,0.166030
sz.000971,2019-04-30,2019-03-31,0.359432,250.395193,1.547603,58.154459,0.124667,0.054637
sz.000971,2019-08-30,2019-06-30,0.836062,215.295078,3.853821,46.706888,0.292970,0.127885
sz.000971,2019-10-30,2019-09-30,1.179950,228.823212,5.316060,50.789491,0.420570,0.181461
sz.000971,2020-04-30,2020-03-31,0.343360,262.115446,1.446048,62.238617,0.134613,0.069669
sz.000971,2020-08-31,2020-06-30,0.773842,232.605530,3.718612,48.405156,0.328361,0.169526
sz.000971,2020-10-31,2020-09-30,1.164847,231.790011,6.429588,41.993358,0.494668,0.253949
sz.002065,2017-04-27,2017-03-31,0.278179,323.532229,0.279622,321.862534,0.127413,0.100972
sz.002065,2017-08-30,2017-06-30,0.539646,333.551826,0.525453,342.561305,0.243690,0.192970
sz.002065,2017-10-27,2017-09-30,0.880487,306.648466,0.836374,322.822243,0.395836,0.315290
sz.002065,2018-04-21,2018-03-31,0.290176,310.156249,0.250110,359.841595,0.117948,0.098331
sz.002065,2018-08-30,2018-06-30,0.621904,289.433618,0.524209,343.374774,0.254084,0.213154
sz.002065,2018-10-29,2018-09-30,0.989411,272.889641,0.785769,343.612331,0.407930,0.342723
sz.002065,2019-04-30,2019-03-31,0.267677,336.225525,0.233781,384.975308,0.114798,0.101264
sz.002065,2019-08-30,2019-06-30,0.609059,295.537633,0.484816,371.274822,0.259970,0.223972
sz.002065,2019-10-22,2019-09-30,0.929703,290.415455,0.734070,367.812509,0.401727,0.347397
sz.002065,2020-04-29,2020-03-31,0.273904,328.582608,0.226426,397.481388,0.118331,0.102481
sz.002065,2020-08-11,2020-06-30,0.572052,314.656761,0.426912,421.632798,0.243643,0.211563
sz.002065,2020-10-28,2020-09-30,0.889860,303.418402,0.638592,422.805339,0.368056,0.319230
sz.002072,2017-04-29,2017-03-31,0.528609,170.258091,,,0.049580,0.032442
sz.002072,2017-08-19,2017-06-30,1.072932,167.764573,,,0.110238,0.072988
sz.002072,2017-10-21,2017-09-30,1.538072,175.544395,,,0.166860,0.110917
sz.002072,2018-04-28,2018-03-31,0.708873,126.962103,254.750038,0.353287,0.090602,0.062272
sz.002072,2018-08-24,2018-06-30,0.833902,215.852738,122.001468,1.475392,0.109661,0.075901
sz.002072,2018-10-25,2018-09-30,0.922887,292.560043,135.467964,1.993091,0.121626,0.084312
sz.002072,2019-04-30,2019-03-31,0.048237,1865.784743,,,0.006043,0.005589
sz.002072,2019-08-21,2019-06-30,0.607381,296.354477,,,0.049211,0.041510
sz.002072,2019-10-23,2019-09-30,2.175934,124.084665,,,0.205032,0.173360
sz.002072,2020-04-30,2020-03-31,0.152029,591.991950,,,0.019469,0.011604
sz.002072,2020-08-25,2020-06-30,0.316614,568.515535,,,0.042583,0.025469
sz.002072,2020-10-27,2020-09-30,0.447413,603.468826,,,0.057703,0.034451
sz.002095,2017-04-28,2017-03-31,10.037261,8.966589,18.345604,4.905807,0.085825,0.073681
sz.002095,2017-08-25,2017-06-30,24.253070,7.421741,35.029848,5.138475,0.172128,0.148312
