code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000503,2017-04-29,2017-03-31,-0.027732,-1.192914,0.212871,-46756497.910000,0.017372,,898822204.00,898779932.00
sz.000503,2017-08-26,2017-06-30,-0.058130,-1.121666,0.215781,-91288036.030000,0.004127,81386088.540000,898822204.00,898779932.00
sz.000503,2017-10-28,2017-09-30,-0.115192,-1.536322,0.100397,-172264732.770000,-0.045932,,898822204.00,898779932.00
sz.000503,2018-04-21,2018-03-31,-0.042808,-5.023710,-1.671678,-61087314.420000,-0.003475,,898822204.00,898779932.00
sz.000503,2018-08-25,2018-06-30,-0.064814,-4.021830,-1.813402,-89901244.100000,0.009336,22353316.370000,898822204.00,898779932.00
sz.000503,2018-10-31,2018-09-30,-0.083564,-2.484888,-1.124440,-115856429.600000,0.064365,,898822204.00,898779932.00
sz.000503,2019-04-27,2019-03-31,-0.042011,-2.973137,-1.517880,-50230118.610000,-0.199026,,898822204.00,898779932.00
sz.000503,2019-08-24,2019-06-30,-0.096548,-3.568679,-1.475749,-112378502.310000,-0.234952,31490225.820000,898822204.00,898779932.00
sz.000503,2019-10-30,2019-09-30,-0.128621,-2.748280,-1.057515,-147478303.380000,-0.245578,,898822204.00,898779932.00
sz.000503,2020-04-25,2020-03-31,-0.059836,-4.142996,-1.360156,-71176624.890000,-0.004439,,898822204.00,898779932.00
sz.000503,2020-08-28,2020-06-30,-0.102715,-3.016812,-1.075243,-120269058.800000,0.010551,39866270.320000,898822204.00,898779932.00
sz.000503,2020-10-30,2020-09-30,-0.142505,-2.372139,-0.743146,-163022523.140000,0.001807,,898822204.00,898779932.00
sz.000606,2017-04-22,2017-03-31,-0.010085,-0.357847,0.330543,-29614955.740000,0.041591,,765799353.00,468393943.00
sz.000606,2017-08-16,2017-06-30,-0.013886,-0.162512,0.352977,-36673810.550000,-0.006015,224797047.760000,765799353.00,472113600.00
sz.000606,2017-10-28,2017-09-30,-0.018991,-0.131536,0.383462,-47038263.390000,-0.031221,,765799353.00,472113600.00
sz.000606,2018-04-28,2018-03-31,0.014909,0.312566,0.312641,46805582.660000,0.174383,,765799353.00,472113600.00
sz.000606,2018-08-31,2018-06-30,0.021563,0.207679,0.291985,68552341.470000,0.212564,328615459.210000,765799353.00,472113600.00
sz.000606,2018-10-31,2018-09-30,0.107994,0.594552,0.388754,332441856.570000,0.563087,,765799353.00,546452800.00
sz.000606,2019-04-30,2019-03-31,0.025212,0.191131,0.293393,73482112.170000,0.160647,,765799353.00,519107186.00
sz.000606,2019-08-31,2019-06-30,0.033467,0.128642,0.259680,99660704.240000,0.167227,765118243.420000,765799353.00,560358729.00
sz.000606,2019-10-31,2019-09-30,0.038308,0.093058,0.226029,115678086.630000,-0.146949,,765799353.00,707201606.00
sz.000606,2020-04-30,2020-03-31,0.006244,0.009418,0.085329,10285234.930000,-1.406229,,765799353.00,707201606.00
sz.000606,2020-08-31,2020-06-30,0.031229,0.021731,0.089724,52289832.680000,-1.381947,2404116024.030000,765799353.00,707201606.00
sz.000606,2020-10-31,2020-09-30,0.046899,0.019635,0.079154,79106669.500000,-1.364897,,765799353.00,707201606.00
sz.000638,2017-04-29,2017-03-31,-0.018055,-0.078631,0.372176,-2306270.590000,-0.008127,,309400000.00,309400000.00
sz.000638,2017-08-31,2017-06-30,0.023279,0.138892,0.476917,11842696.300000,0.039021,39729598.700000,309400000.00,309400000.00
sz.000638,2017-10-31,2017-09-30,0.106718,0.259903,0.407957,32621447.330000,0.087220,,309400000.00,309400000.00
sz.000638,2018-04-28,2018-03-31,-0.030614,-0.435717,0.399313,-9198218.900000,0.039349,,309400000.00,309400000.00
sz.000638,2018-08-30,2018-06-30,-0.064448,-0.421565,0.419972,-19376526.370000,-0.017755,45963368.610000,309400000.00,309400000.00
sz.000638,2018-10-31,2018-09-30,-0.075950,-0.350851,0.485017,-23023599.600000,-0.090876,,309400000.00,309400000.00
sz.000638,2019-04-30,2019-03-31,-0.015731,-0.174713,0.408500,-4613113.690000,-0.463823,,309400000.00,309400000.00
sz.000638,2019-08-30,2019-06-30,-0.033579,-0.068738,0.452524,-2866591.340000,-0.437793,41703265.940000,309400000.00,309400000.00
sz.000638,2019-10-31,2019-09-30,-0.078731,-0.095670,0.301158,-8935556.300000,-0.448446,,309400000.00,309400000.00
sz.000638,2020-04-30,2020-03-31,-0.040015,-0.439075,0.115421,-10056799.430000,0.018671,,309400000.00,309400000.00
sz.000638,2020-08-31,2020-06-30,-0.078725,-0.354567,0.300976,-14513158.930000,0.007665,40932114.010000,309400000.00,309400000.00
sz.000638,2020-10-31,2020-09-30,-0.084715,-0.207942,0.333656,-14349951.390000,0.025031,,309400000.00,309400000.00
sz.000676,2017-04-27,2017-03-31,0.026300,0.103057,0.143586,122802929.310000,0.461388,,965710782.00,313954876.00
sz.000676,2017-08-30,2017-06-30,0.046378,0.086050,0.137454,218941937.040000,0.463491,2544364276.360000,965710782.00,316489122.00
sz.000676,2017-10-31,2017-09-30,0.069574,0.074704,0.127696,330606827.970000,0.513634,,965710782.00,316489122.00
sz.000676,2018-04-27,2018-03-31,0.039226,0.095255,0.156154,201154124.230000,0.627110,,965710782.00,316489122.00
sz.000676,2018-08-15,2018-06-30,0.082850,0.115953,0.187699,437328813.470000,0.772877,3771598545.180000,965710782.00,317057894.00
sz.000676,2018-10-20,2018-09-30,0.107668,0.102826,0.171672,580744401.450000,0.805358,,965710782.00,317057894.00
sz.000676,2019-04-26,2019-03-31,0.028822,0.064120,0.132819,171340528.890000,0.670392,,1020000075.00,316319819.00
sz.000676,2019-08-24,2019-06-30,0.053928,0.067092,0.140297,326056276.230000,0.590933,4859837699.070000,1020000075.00,502951808.00
sz.000676,2019-10-22,2019-09-30,0.069184,0.053537,0.117555,426783061.780000,0.422176,,1326000097.00,653837351.00
sz.000676,2020-04-28,2020-03-31,-0.018056,-0.037885,0.050023,-135700368.220000,0.247653,,1326000097.00,658576138.00
sz.000676,2020-08-28,2020-06-30,-0.011196,-0.019142,0.049510,-114027424.620000,0.164550,5956866746.930000,1325700535.00,1007937454.00
