code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000503,2017-08-26,2017-06-30,-0.058130,-1.121666,0.215781,-91288036.030000,0.004127,81386088.540000,898822204.00,898779932.00
sz.000503,2018-08-25,2018-06-30,-0.064814,-4.021830,-1.813402,-89901244.100000,0.009336,22353316.370000,898822204.00,898779932.00
sz.000503,2019-08-24,2019-06-30,-0.096548,-3.568679,-1.475749,-112378502.310000,-0.234952,31490225.820000,898822204.00,898779932.00
sz.000503,2020-08-28,2020-06-30,-0.102715,-3.016812,-1.075243,-120269058.800000,0.010551,39866270.320000,898822204.00,898779932.00
sz.000606,2017-08-16,2017-06-30,-0.013886,-0.162512,0.352977,-36673810.550000,-0.006015,224797047.760000,765799353.00,472113600.00
sz.000606,2018-08-31,2018-06-30,0.021563,0.207679,0.291985,68552341.470000,0.212564,328615459.210000,765799353.00,472113600.00
sz.000606,2019-08-31,2019-06-30,0.033467,0.128642,0.259680,99660704.240000,0.167227,765118243.420000,765799353.00,560358729.00
sz.000606,2020-08-31,2020-06-30,0.031229,0.021731,0.089724,52289832.680000,-1.381947,2404116024.030000,765799353.00,707201606.00
sz.000638,2017-08-31,2017-06-30,0.023279,0.138892,0.476917,11842696.300000,0.039021,39729598.700000,309400000.00,309400000.00
sz.000638,2018-08-30,2018-06-30,-0.064448,-0.421565,0.419972,-19376526.370000,-0.017755,45963368.610000,309400000.00,309400000.00
sz.000638,2019-08-30,2019-06-30,-0.033579,-0.068738,0.452524,-2866591.340000,-0.437793,41703265.940000,309400000.00,309400000.00
sz.000638,2020-08-31,2020-06-30,-0.078725,-0.354567,0.300976,-14513158.930000,0.007665,40932114.010000,309400000.00,309400000.00
sz.000676,2017-08-30,2017-06-30,0.046378,0.086050,0.137454,218941937.040000,0.463491,2544364276.360000,965710782.00,316489122.00
sz.000676,2018-08-15,2018-06-30,0.082850,0.115953,0.187699,437328813.470000,0.772877,3771598545.180000,965710782.00,317057894.00
sz.000676,2019-08-24,2019-06-30,0.053928,0.067092,0.140297,326056276.230000,0.590933,4859837699.070000,1020000075.00,502951808.00
sz.000676,2020-08-28,2020-06-30,-0.011196,-0.019142,0.049510,-114027424.620000,0.164550,5956866746.930000,1325700535.00,1007937454.00
sz.000839,2017-08-29,2017-06-30,0.035593,0.125340,0.213255,288489089.770000,0.076866,2301653802.040000,3919826352.00,3919007202.00
sz.000839,2018-08-31,2018-06-30,-0.000056,-0.011489,0.143646,-21949094.960000,0.004631,1910520659.320000,3919826352.00,3919007202.00
sz.000839,2019-08-31,2019-06-30,0.016877,0.085302,0.101506,137227830.580000,0.551695,1608732227.590000,3919826352.00,3919007202.00
sz.000839,2020-08-29,2020-06-30,-0.019010,-0.138085,0.104940,-204340781.130000,-0.080749,1479821982.020000,3919826352.00,3919826352.00
sz.000889,2017-08-29,2017-06-30,0.042973,0.124192,0.237112,107807126.950000,0.321456,868066561.620000,621826786.00,445338490.00
sz.000889,2018-08-28,2018-06-30,0.040452,0.084187,0.190470,115669623.080000,0.370908,1370148788.820000,621826786.00,621643712.00
sz.000889,2019-08-27,2019-06-30,0.022982,0.051496,0.149489,83590401.220000,0.338674,1623250801.740000,669101883.00,621643712.00
sz.000889,2020-08-18,2020-06-30,0.005516,0.011473,0.137751,12847784.750000,-1.959210,1119875086.890000,669101883.00,621643712.00
sz.000917,2017-08-12,2017-06-30,0.011102,0.066505,0.228570,251922631.620000,0.225798,3784439034.110000,1417556338.00,1062082046.00
sz.000917,2018-08-31,2018-06-30,-0.003545,0.013372,0.190550,62001693.750000,-0.438522,4630382254.800000,1417556338.00,1294639951.00
sz.000917,2019-08-31,2019-06-30,0.001099,0.012015,0.284662,34905287.000000,0.094587,2894071849.290000,1417556338.00,1294639951.00
sz.000917,2020-08-31,2020-06-30,-0.024474,-0.088219,0.196396,-216813465.240000,-0.118010,2457668744.680000,1417556338.00,1295200789.00
sz.000971,2017-08-26,2017-06-30,0.023153,0.195845,0.353487,82034348.260000,0.285547,418872891.670000,511273668.00,243828061.00
sz.000971,2018-08-31,2018-06-30,0.007602,0.065613,0.242658,27718376.020000,0.099891,422449507.940000,1021635336.00,591261143.00
sz.000971,2019-08-30,2019-06-30,0.003911,0.016803,0.278979,7140977.060000,-2.036358,424991661.180000,1088491792.00,591490047.00
sz.000971,2020-08-31,2020-06-30,0.009564,0.025667,0.261912,10305952.670000,-0.594147,401519527.630000,1055307925.00,798669015.00
sz.002065,2017-08-30,2017-06-30,0.068600,0.243077,0.322672,612273904.870000,0.755494,2518317751.800000,1569893780.00,1368433844.00
sz.002065,2018-08-30,2018-06-30,0.036825,0.104857,0.321698,327577867.090000,0.122580,3122663242.280000,3139787560.00,2787580616.00
sz.002065,2019-08-30,2019-06-30,0.041305,0.105315,0.336087,378403446.790000,0.275895,3593070927.630000,3115482375.00,2807535989.00
sz.002065,2020-08-11,2020-06-30,0.041279,0.107327,0.347280,390655527.440000,0.192003,3639302342.080000,3115482375.00,2807662252.00
sz.002072,2017-08-19,2017-06-30,0.028089,0.053522,0.403829,2730972.610000,-0.113628,51024768.520000,176000000.00,176000000.00
sz.002072,2018-08-24,2018-06-30,-0.175075,-0.214802,0.139659,-11194869.240000,-0.270570,52117194.700000,176000000.00,169142650.00
sz.002072,2019-08-21,2019-06-30,,-0.912053,0.084560,-15918236.000000,-1.456608,17453194.990000,176000000.00,166148433.00
sz.002072,2020-08-25,2020-06-30,0.153491,0.257608,0.875200,4003685.480000,0.161252,15541769.220000,176000000.00,152919100.00
sz.002095,2017-08-25,2017-06-30,0.016705,0.076396,0.364240,13503682.730000,0.054031,176758154.570000,252720000.00,251602512.00
sz.002095,2018-08-28,2018-06-30,0.033042,0.137795,0.402023,28138395.580000,0.131599,204159816.840000,252720000.00,251638091.00
